ID Race,Race,ID State,State,ID Year,Year,Household Income by Race,Household Income by Race Moe,Slug State
4,Asian,04000US55,Wisconsin,2018,2018,67221,4211,wisconsin
4,Asian,04000US56,Wyoming,2018,2018,46256,25913,wyoming
4,Asian,04000US72,Puerto Rico,2018,2018,26591,20281,puerto-rico
5,Pacific Islander,04000US02,Alaska,2018,2018,90330,64661,alaska
5,Pacific Islander,04000US04,Arizona,2018,2018,55497,35977,arizona
5,Pacific Islander,04000US05,Arkansas,2018,2018,37120,16736,arkansas
5,Pacific Islander,04000US06,California,2018,2018,75798,4667,california
5,Pacific Islander,04000US08,Colorado,2018,2018,72129,39961,colorado
5,Pacific Islander,04000US09,Connecticut,2018,2018,2499,,connecticut
5,Pacific Islander,04000US10,Delaware,2018,2018,61010,19614,delaware
5,Pacific Islander,04000US12,Florida,2018,2018,29223,10826,florida
5,Pacific Islander,04000US13,Georgia,2018,2018,40959,9637,georgia
5,Pacific Islander,04000US15,Hawaii,2018,2018,65163,8028,hawaii
5,Pacific Islander,04000US17,Illinois,2018,2018,33376,11894,illinois
5,Pacific Islander,04000US18,Indiana,2018,2018,53552,17205,indiana
5,Pacific Islander,04000US19,Iowa,2018,2018,51921,15923,iowa
5,Pacific Islander,04000US20,Kansas,2018,2018,106538,21636,kansas
5,Pacific Islander,04000US21,Kentucky,2018,2018,32560,10871,kentucky
5,Pacific Islander,04000US22,Louisiana,2018,2018,71033,26210,louisiana
5,Pacific Islander,04000US25,Massachusetts,2018,2018,79280,18065,massachusetts
5,Pacific Islander,04000US26,Michigan,2018,2018,93286,13630,michigan
5,Pacific Islander,04000US27,Minnesota,2018,2018,48254,7005,minnesota
5,Pacific Islander,04000US28,Mississippi,2018,2018,2499,,mississippi
5,Pacific Islander,04000US29,Missouri,2018,2018,80406,7293,missouri
5,Pacific Islander,04000US30,Montana,2018,2018,37246,16240,montana
5,Pacific Islander,04000US32,Nevada,2018,2018,58846,11875,nevada
5,Pacific Islander,04000US34,New Jersey,2018,2018,85631,72963,new-jersey
5,Pacific Islander,04000US36,New York,2018,2018,61793,37546,new-york
5,Pacific Islander,04000US37,North Carolina,2018,2018,52736,7792,north-carolina
5,Pacific Islander,04000US39,Ohio,2018,2018,26310,15827,ohio
5,Pacific Islander,04000US40,Oklahoma,2018,2018,47356,13918,oklahoma
5,Pacific Islander,04000US41,Oregon,2018,2018,61736,15535,oregon
5,Pacific Islander,04000US42,Pennsylvania,2018,2018,46513,21432,pennsylvania
5,Pacific Islander,04000US45,South Carolina,2018,2018,71947,26593,south-carolina
5,Pacific Islander,04000US48,Texas,2018,2018,60734,8708,texas
5,Pacific Islander,04000US49,Utah,2018,2018,66783,10568,utah
5,Pacific Islander,04000US51,Virginia,2018,2018,72189,9834,virginia
5,Pacific Islander,04000US53,Washington,2018,2018,66400,16429,washington
5,Pacific Islander,04000US55,Wisconsin,2018,2018,33909,31688,wisconsin
5,Pacific Islander,04000US56,Wyoming,2018,2018,225697,148484,wyoming
6,Other,04000US01,Alabama,2018,2018,35433,3731,alabama
6,Other,04000US02,Alaska,2018,2018,74423,13174,alaska
6,Other,04000US04,Arizona,2018,2018,49034,2977,arizona
6,Other,04000US05,Arkansas,2018,2018,39865,4359,arkansas
6,Other,04000US06,California,2018,2018,56332,875,california
6,Other,04000US08,Colorado,2018,2018,52784,4601,colorado
6,Other,04000US09,Connecticut,2018,2018,35860,3004,connecticut
6,Other,04000US10,Delaware,2018,2018,57345,2640,delaware
6,Other,04000US11,District of Columbia,2018,2018,54124,13299,district-of-columbia
6,Other,04000US12,Florida,2018,2018,45430,2537,florida
6,Other,04000US13,Georgia,2018,2018,50121,3512,georgia
6,Other,04000US15,Hawaii,2018,2018,62365,31291,hawaii
6,Other,04000US16,Idaho,2018,2018,42268,7925,idaho
6,Other,04000US17,Illinois,2018,2018,53470,2167,illinois
6,Other,04000US18,Indiana,2018,2018,44809,5293,indiana
6,Other,04000US19,Iowa,2018,2018,46101,3771,iowa
6,Other,04000US20,Kansas,2018,2018,44563,4357,kansas
6,Other,04000US21,Kentucky,2018,2018,39793,4135,kentucky
6,Other,04000US22,Louisiana,2018,2018,35053,4774,louisiana
6,Other,04000US24,Maryland,2018,2018,65269,2822,maryland
6,Other,04000US25,Massachusetts,2018,2018,45518,2963,massachusetts
6,Other,04000US26,Michigan,2018,2018,48744,4163,michigan
6,Other,04000US27,Minnesota,2018,2018,48404,5540,minnesota
6,Other,04000US28,Mississippi,2018,2018,41872,7167,mississippi
6,Other,04000US29,Missouri,2018,2018,39264,7289,missouri
6,Other,04000US30,Montana,2018,2018,42283,25258,montana
